method,roi,a1_capture,a1_umi_density,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw,d1_silhouette,e1_immune_survival,a1_norm,a1d_norm,a2_norm,a3_norm,c1_norm,ned_norm,d1_norm,e1_norm,capture_score,purity_score,core_tas,tas
p3,roi4,0.7712775542074599,15.200600211520385,723.0,611.0,0.0074511819116135,0.7549563050270081,0.001027749229188,972,973,0.1344490498304367,1.0,0.7712775542074599,0.8474817786556247,0.953046099098177,1.0,0.9925488180883865,0.7549563050270081,0.5672245249152184,1.0,0.9120024141023566,0.8656390635033357,0.88851838228387,0.776065532204842
p3,roi5,0.7439577442245104,14.12718554087712,715.0,582.0,0.0027693856998992,0.736407995223999,0.0040281973816717,966,993,0.1344490498304367,1.0,0.7439577442245104,0.7876354987947581,0.9514353472670268,1.0,0.9972306143001008,0.736407995223999,0.5672245249152184,1.0,0.8816765862141358,0.8569530894119785,0.8692269406883396,0.7635260951677472
p3,roi6,0.8299189073836961,12.468836296316075,500.0,438.0,0.0012745812090313,0.8057659268379211,0.0014566642388929,1371,1373,0.1344490498304367,,0.8299189073836961,0.6951772571558753,0.8996566681120063,1.0,0.9987254187909687,0.8057659268379211,0.5672245249152184,,0.8225027956059392,0.897072412199091,0.8589787930413159,0.7568647991971817
p3,roi7,0.7708460981451568,16.924950008087094,524.5,455.0,0.0017673521850899,0.7885197997093201,0.0096401028277634,1534,1556,0.1344490498304367,,0.7708460981451568,0.9436197608592006,0.9065818308431922,1.0,0.9982326478149101,0.7885197997093201,0.5672245249152184,,0.9484553381403984,0.887201334263152,0.917317197858609,0.7947847623284223
p3,roi8,0.73141576391483,7.475872676354386,430.0,364.0,0.0039193729003359,0.787204921245575,0.0111982082866741,840,893,0.1344490498304367,0.6666666666666666,0.73141576391483,0.4168036646314835,0.8778228185265289,1.0,0.996080627099664,0.787204921245575,0.5672245249152184,0.6666666666666666,0.6778575369473739,0.8855052634571033,0.7747557143002997,0.7021197980155213
p3,roi9,0.7552130553037172,12.528839216694518,489.0,435.5,0.0022394136807817,0.8156519532203674,0.003257328990228,1222,1228,0.1344490498304367,,0.7552130553037172,0.6985226106931859,0.8964362863745402,1.0,0.9977605863192183,0.8156519532203674,0.5672245249152184,,0.823370376940228,0.9021227028944396,0.8618474980694276,0.7587294574654544
p3,roi10,0.6762163892445583,6.730884314036107,319.0,207.0,0.003763440860215,0.7020995616912842,0.0225806451612903,909,930,0.1344490498304367,1.0,0.6762163892445583,0.37526819540068757,0.8345968943523937,0.69,0.996236559139785,0.7020995616912842,0.5672245249152184,1.0,0.5687833212884422,0.836335609377525,0.6897055499367407,0.6468371911792079
p3,roi11,0.7224533333333333,9.98152701561357,449.0,311.5,0.0037950664136622,0.7068888545036316,0.0180265654648956,1035,1054,0.1344490498304367,1.0,0.7224533333333333,0.5565018585568906,0.8840821136677744,1.0,0.9962049335863378,0.7068888545036316,0.5672245249152184,1.0,0.7492714576953889,0.8391699257919772,0.7929477117391072,0.7139445963507461
p3,roi12,0.5862804715421134,13.078390253006202,503.5,445.0,0.0016198704103671,0.8020167946815491,0.0075593952483801,919,926,0.1344490498304367,1.0,0.5862804715421134,0.7291618277790015,0.900666491629879,1.0,0.9983801295896328,0.8020167946815491,0.5672245249152184,1.0,0.8397475367969705,0.8948282692266862,0.866850526295858,0.7619814258126342
p3,roi13,0.7699322702789184,14.523992274228174,911.0,759.0,0.002944640753828,0.7436191439628601,0.0047114252061248,844,849,0.1344490498304367,,0.7699322702789184,0.8097587354751106,0.9865061256576662,1.0,0.997055359246172,0.7436191439628601,0.5672245249152184,,0.9015058991519718,0.8610629783739516,0.8810524130524154,0.7712126522043965
p3,roi14,0.723873032808749,11.22341290776016,579.0,499.0,0.0046136101499423,0.7801381945610046,0.0103806228373702,857,867,0.1344490498304367,1.0,0.723873032808749,0.6257409445218025,0.9208928545758122,1.0,0.9953863898500577,0.7801381945610046,0.5672245249152184,1.0,0.7930936859048543,0.8812144693933596,0.8359937987831428,0.7419245529293693
p3,roi15,0.4868889797348595,11.627306218765291,381.0,280.0,0.0022598870056497,0.7292981743812561,0.0180790960451977,853,885,0.1344490498304367,1.0,0.4868889797348595,0.6482592804318752,0.8603083252252065,0.9333333333333333,0.9977401129943503,0.7292981743812561,0.5672245249152184,1.0,0.7725400548555725,0.8530240576406551,0.8117852254647376,0.726188980272406
nuc,roi1,0.2085252222341223,6.859135955175576,113.0,92.0,0.0,0.8403502702713013,0.1279904306220095,729,836,0.0926638916134834,0.90625,0.2085252222341223,0.3824186320568667,0.68435948116114,0.30666666666666664,1.0,0.8403502702713013,0.5463319458067417,0.90625,0.43896585298538504,0.9167062071739785,0.6343522067188878,0.6035451153996367
nuc,roi2,0.2388139299237374,9.473353563393069,166.0,130.0,0.0003048780487804,0.813565194606781,0.1024390243902439,736,820,0.0926638916134834,1.0,0.2388139299237374,0.5281695733075883,0.7400360293466851,0.43333333333333335,0.9996951219512196,0.813565194606781,0.5463319458067417,1.0,0.5574271273237987,0.9018409817909661,0.709020893756039,0.652079761973785
